action step turn car_x car_v car_y visibility crashed ped_x ped_y
- 0 0 5 0 5 1 0 85 10
Car 1 1 5 0 5 1 0 85 10
Car 2 2 5 0 5 1 0 85 10
Pedestrian 3 0 5 0 5 1 0 85 11
Car 4 1 6 1 5 1 0 85 11
Car 5 2 6 1 5 1 0 85 11
Pedestrian 6 0 6 1 5 1 0 85 10
Car 7 1 6 0 5 1 0 85 10
Car 8 2 6 0 5 1 0 85 10
Pedestrian 9 0 6 0 5 1 0 85 9
Car 10 1 8 2 5 1 0 85 9
Car 11 2 8 2 5 1 0 85 9
Pedestrian 12 0 8 2 5 1 0 85 10
Car 13 1 8 0 5 1 0 85 10
Car 14 2 8 0 5 1 0 85 10
Pedestrian 15 0 8 0 5 1 0 85 11
Car 16 1 8 0 5 1 0 85 11
Car 17 2 8 0 5 1 0 85 11
Pedestrian 18 0 8 0 5 1 0 85 10
Car 19 1 8 0 5 1 0 85 10
Car 20 2 8 0 5 1 0 85 10
Pedestrian 21 0 8 0 5 1 0 85 11
Car 22 1 9 1 5 1 0 85 11
Car 23 2 9 1 5 1 0 85 11
Pedestrian 24 0 9 1 5 1 0 85 10
Car 25 1 9 0 5 1 0 85 10
Car 26 2 9 0 5 1 0 85 10
Pedestrian 27 0 9 0 5 1 0 85 11
Car 28 1 9 0 5 1 0 85 11
Car 29 2 9 0 5 1 0 85 11
Pedestrian 30 0 9 0 5 1 0 85 10
Car 31 1 9 0 5 1 0 85 10
Car 32 2 9 0 5 1 0 85 10
Pedestrian 33 0 9 0 5 1 0 85 9
Car 34 1 11 2 5 1 0 85 9
Car 35 2 11 2 5 1 0 85 9
Pedestrian 36 0 11 2 5 1 0 85 8
Car 37 1 13 2 5 1 0 85 8
Car 38 2 13 2 5 1 0 85 8
Pedestrian 39 0 13 2 5 1 0 85 9
Car 40 1 16 3 5 1 0 85 9
Car 41 2 16 3 5 1 0 85 9
Pedestrian 42 0 16 3 5 1 0 85 10
Car 43 1 19 3 5 1 0 85 10
Car 44 2 19 3 5 1 0 85 10
Pedestrian 45 0 19 3 5 1 0 85 9
Car 46 1 21 2 5 1 0 85 9
Car 47 2 21 2 5 1 0 85 9
Pedestrian 48 0 21 2 5 1 0 85 8
Car 49 1 23 2 5 1 0 85 8
Car 50 2 23 2 5 1 0 85 8
Pedestrian 51 0 23 2 5 1 0 85 9
Car 52 1 25 2 5 1 0 85 9
Car 53 2 25 2 5 1 0 85 9
Pedestrian 54 0 25 2 5 1 0 85 10
Car 55 1 27 2 5 1 0 85 10
Car 56 2 27 2 5 1 0 85 10
Pedestrian 57 0 27 2 5 1 0 85 9
Car 58 1 30 3 5 1 0 85 9
Car 59 2 30 3 5 1 0 85 9
Pedestrian 60 0 30 3 5 1 0 85 8
Car 61 1 33 3 5 1 0 85 8
Car 62 2 33 3 5 1 0 85 8
Pedestrian 63 0 33 3 5 1 0 85 7
Car 64 1 36 3 5 1 0 85 7
Car 65 2 36 3 5 1 0 85 7
Pedestrian 66 0 36 3 5 1 0 85 8
Car 67 1 37 1 5 1 0 85 8
Car 68 2 37 1 5 1 0 85 8
Pedestrian 69 0 37 1 5 1 0 85 7
Car 70 1 38 1 5 1 0 85 7
Car 71 1 38 1 5 1 1 85 7
Car 72 2 38 1 5 1 1 85 7
Pedestrian 73 0 38 1 5 1 1 85 8
Car 74 1 40 2 5 1 1 85 8
Car 75 2 40 2 5 1 1 85 8
Pedestrian 76 0 40 2 5 1 1 85 9
Car 77 1 40 0 5 1 1 85 9
Car 78 2 40 0 5 1 1 85 9
Pedestrian 79 0 40 0 5 1 1 85 10
Car 80 1 40 0 5 1 1 85 10
Car 81 2 40 0 5 1 1 85 10
Pedestrian 82 0 40 0 5 1 1 85 9
Car 83 1 40 0 5 1 1 85 9
Car 84 2 40 0 5 1 1 85 9
Pedestrian 85 0 40 0 5 1 1 85 10
Car 86 1 40 0 5 1 1 85 10
Car 87 2 40 0 5 1 1 85 10
Pedestrian 88 0 40 0 5 1 1 85 11
Car 89 1 40 0 5 1 1 85 11
Car 90 2 40 0 5 1 1 85 11
Pedestrian 91 0 40 0 5 1 1 85 10
Car 92 1 40 0 5 1 1 85 10
Car 93 2 40 0 5 1 1 85 10
Pedestrian 94 0 40 0 5 1 1 85 9
Car 95 1 40 0 5 1 1 85 9
Car 96 2 40 0 5 1 1 85 9
Pedestrian 97 0 40 0 5 1 1 85 10
Car 98 1 40 0 5 1 1 85 10
Car 99 2 40 0 5 1 1 85 10
Pedestrian 100 0 40 0 5 1 1 85 11
