action step turn car_x car_v visibility finished seen_ped ped_x ped_y
- 0 0 27 0 1 0 0 58 1
Car 1 1 27 0 1 0 1 58 1
Car 2 2 28 1 1 0 1 58 1
Pedestrian 3 0 28 1 1 0 1 58 1
Car 4 1 28 1 1 0 1 58 1
Car 5 2 31 3 1 0 1 58 1
Pedestrian 6 0 31 3 1 0 1 59 1
Car 7 1 31 3 1 0 1 59 1
Car 8 2 33 2 1 0 1 59 1
Pedestrian 9 0 33 2 1 0 1 59 1
Car 10 1 33 2 1 0 1 59 1
Car 11 2 35 2 1 0 1 59 1
Pedestrian 12 0 35 2 1 0 1 58 1
Car 13 1 35 2 1 0 1 58 1
Car 14 2 37 2 1 0 1 58 1
Pedestrian 15 0 37 2 1 0 1 58 1
Car 16 1 37 2 1 0 1 58 1
Car 17 2 39 2 1 0 1 58 1
Pedestrian 18 0 39 2 1 0 1 59 1
Car 19 1 39 2 1 0 1 59 1
Car 20 2 41 2 1 0 1 59 1
Pedestrian 21 0 41 2 1 0 1 60 1
Car 22 1 41 2 0 0 1 60 1
Car 23 2 43 2 0 0 1 60 1
Pedestrian 24 0 43 2 0 0 1 60 1
Car 25 1 43 2 0 0 1 60 1
Car 26 2 45 2 0 0 1 60 1
Pedestrian 27 0 45 2 0 0 1 60 1
Car 28 1 45 2 0 0 1 60 1
Car 29 2 47 2 0 0 1 60 1
Pedestrian 30 0 47 2 0 0 1 59 1
Car 31 1 47 2 0 0 1 59 1
Car 32 2 49 2 0 0 1 59 1
Pedestrian 33 0 49 2 0 0 1 60 1
Car 34 1 49 2 0 0 1 60 1
Car 35 2 51 2 0 0 1 60 1
Pedestrian 36 0 51 2 0 0 1 60 1
Car 37 1 51 2 0 0 1 60 1
Car 38 2 53 2 0 0 1 60 1
Pedestrian 39 0 53 2 0 0 1 59 1
Car 40 1 53 2 1 0 1 59 1
Car 41 2 55 2 1 0 1 59 1
Pedestrian 42 0 55 2 1 0 1 60 1
Car 43 1 55 2 1 0 1 60 1
Car 44 2 57 2 1 0 1 60 1
Pedestrian 45 0 57 2 1 0 1 61 1
Car 46 1 57 2 1 0 1 61 1
Car 47 2 59 2 1 0 1 61 1
Pedestrian 48 0 59 2 1 0 1 62 1
Car 49 1 59 2 1 0 1 62 1
Car 50 2 61 2 1 0 1 62 1
Pedestrian 51 0 61 2 1 0 1 62 1
Car 52 1 61 2 1 0 1 62 1
Car 53 2 63 2 1 0 1 62 1
Pedestrian 54 0 63 2 1 0 1 62 1
Car 55 1 63 2 1 0 1 62 1
Car 56 2 65 2 1 0 1 62 1
Pedestrian 57 0 65 2 1 0 1 63 1
Car 58 1 65 2 1 0 1 63 1
Car 59 2 67 2 1 0 1 63 1
Pedestrian 60 0 67 2 1 0 1 64 1
Car 61 1 67 2 1 0 1 64 1
Car 62 2 69 2 1 0 1 64 1
Pedestrian 63 0 69 2 1 0 1 65 1
Car 64 1 69 2 1 0 1 65 1
Car 65 2 71 2 1 0 1 65 1
Pedestrian 66 0 71 2 1 0 1 66 1
Car 67 1 71 2 1 0 1 66 1
Car 68 2 74 3 1 0 1 66 1
Pedestrian 69 0 74 3 1 0 1 67 1
Car 70 1 74 3 1 0 1 67 1
Car 71 2 75 4 1 0 1 67 1
Pedestrian 72 0 75 4 1 0 1 68 1
Car 73 1 75 4 1 0 1 68 1
Car 74 1 75 4 1 1 1 68 1
Car 75 1 75 4 1 1 1 68 1
