action step turn car_x car_v visibility finished seen_ped ped_x ped_y
- 0 0 27 0 1 0 0 52 1
Car 1 1 27 0 0 0 0 52 1
Car 2 2 29 2 0 0 0 52 1
Pedestrian 3 0 29 2 0 0 0 52 2
Car 4 1 29 2 0 0 0 52 2
Car 5 2 33 4 0 0 0 52 2
Pedestrian 6 0 33 4 0 0 0 52 3
Car 7 1 33 4 0 0 0 52 3
Car 8 2 37 4 0 0 0 52 3
Pedestrian 9 0 37 4 0 0 0 52 3
Car 10 1 37 4 0 0 0 52 3
Car 11 2 42 5 0 0 0 52 3
Pedestrian 12 0 42 5 0 0 0 52 4
Car 13 1 42 5 1 0 1 52 4
Car 14 2 46 4 1 0 1 52 4
Pedestrian 15 0 46 4 1 0 1 52 5
Car 16 1 46 4 1 0 1 52 5
Car 17 2 48 2 1 0 1 52 5
Pedestrian 18 0 48 2 1 0 1 52 6
Car 19 1 48 2 1 0 1 52 6
Car 20 2 49 1 1 0 1 52 6
Pedestrian 21 0 49 1 1 0 1 52 7
Car 22 1 49 1 1 0 1 52 7
Car 23 1 49 1 1 1 1 52 7
Car 24 1 49 1 1 1 1 52 7
