action step turn car_x car_v finished ped_x ped_y
- 0 0 27 0 0 45 1
Car 1 1 27 0 0 45 1
Car 2 2 28 1 0 45 1
Pedestrian 3 0 28 1 0 46 1
Car 4 1 28 1 0 46 1
Car 5 2 31 3 0 46 1
Pedestrian 6 0 31 3 0 47 1
Car 7 1 31 3 0 47 1
Car 8 2 35 4 0 47 1
Pedestrian 9 0 35 4 0 47 2
Car 10 1 35 4 0 47 2
Car 11 2 40 5 0 47 2
Pedestrian 12 0 40 5 0 48 2
Car 13 1 40 5 0 48 2
Car 14 2 44 4 0 48 2
Pedestrian 15 0 44 4 0 48 3
Car 16 1 44 4 0 48 3
Car 17 2 48 4 0 48 3
Pedestrian 18 0 48 4 0 48 4
Car 19 1 48 4 0 48 4
Car 20 2 52 4 0 48 4
Pedestrian 21 0 52 4 0 48 5
Car 22 1 52 4 0 48 5
Car 23 2 57 5 0 48 5
Pedestrian 24 0 57 5 0 48 6
Car 25 1 57 5 0 48 6
Car 26 2 62 5 0 48 6
Pedestrian 27 0 62 5 0 48 6
Car 28 1 62 5 0 48 6
Car 29 2 67 5 0 48 6
Pedestrian 30 0 67 5 0 48 7
Car 31 1 67 5 0 48 7
Car 32 2 72 5 0 48 7
Pedestrian 33 0 72 5 0 48 8
Car 34 1 72 5 0 48 8
Car 35 2 75 5 0 48 8
Pedestrian 36 0 75 5 0 48 9
Car 37 1 75 5 0 48 9
Car 38 1 75 5 1 48 9
Car 39 1 75 5 1 48 9
